Date,Open,High,Low,Close,Volume
10/06/2021,"42.52","43.24","41.45","42.77","4,801,280"
10/05/2021,"42.80","43.29","41.68","43.05","5,263,416"
10/04/2021,"43.99","44.24","42.69","42.84","4,782,952"
10/01/2021,"44.85","44.87","43.06","44.23","6,204,556"
09/30/2021,"43.75","46.36","41.70","43.87","12,709,812"
09/29/2021,"45.02","46.12","43.65","43.98","7,599,732"
09/28/2021,"47.00","47.70","44.50","44.65","7,081,972"
09/27/2021,"46.48","48.01","46.47","47.37","5,880,584"
09/24/2021,"47.75","47.93","46.03","46.29","6,743,036"
09/23/2021,"48.08","48.94","47.65","47.81","6,729,036"
09/22/2021,"47.41","48.38","46.57","47.54","9,026,372"
09/21/2021,"49.84","49.84","46.50","47.49","10,535,308"
09/20/2021,"50.00","50.71","46.14","48.05","15,767,208"
09/17/2021,"52.01","53.12","50.20","51.24","15,802,572"
09/16/2021,"50.58","54.14","50.29","51.59","12,232,868"
09/15/2021,"49.25","51.22","48.44","51.13","9,241,628"
09/14/2021,"50.16","51.16","48.75","49.81","8,566,524"
09/13/2021,"48.44","52.22","47.88","50.85","17,336,272"
09/10/2021,"49.60","50.54","47.50","47.60","12,170,592"
09/09/2021,"45.02","50.50","44.50","49.80","30,045,832"
09/08/2021,"50.47","51.72","47.67","49.70","20,694,264"
09/07/2021,"51.56","52.48","49.03","49.75","10,004,712"
09/03/2021,"53.01","54.07","49.71","50.69","10,656,020"
09/02/2021,"53.47","53.70","51.58","53.38","7,422,472"
09/01/2021,"56.00","57.86","52.01","53.24","17,815,128"
08/31/2021,"53.18","55.58","52.87","54.56","14,298,748"
08/30/2021,"51.25","54.55","50.76","52.30","13,238,336"
08/27/2021,"51.93","53.25","50.01","51.24","12,923,216"
08/26/2021,"50.17","54.25","49.75","51.31","24,954,588"
08/25/2021,"51.66","56.75","48.25","49.91","51,444,240"
08/24/2021,"41.57","56.25","41.29","52.57","58,608,840"
08/23/2021,"40.60","41.82","39.89","41.22","5,372,128"
08/20/2021,"38.45","40.02","38.31","39.83","4,619,432"
08/19/2021,"39.19","39.50","37.70","38.23","4,786,192"
08/18/2021,"40.81","41.40","39.19","39.26","5,647,368"
08/17/2021,"40.30","42.37","40.28","40.89","4,863,752"
08/16/2021,"40.25","42.47","39.79","40.98","6,299,508"
08/13/2021,"40.12","40.89","39.35","40.63","4,059,004"
08/12/2021,"39.97","41.07","39.33","40.59","5,279,328"
08/11/2021,"39.61","39.76","38.66","39.70","3,781,712"
08/10/2021,"40.34","41.72","38.84","39.76","6,493,336"
08/09/2021,"37.95","41.18","37.67","40.28","8,996,816"
08/06/2021,"38.65","39.13","37.58","37.94","5,410,756"
08/05/2021,"37.00","39.40","36.31","38.36","9,648,492"
08/04/2021,"38.18","39.45","36.42","36.70","9,573,936"
08/03/2021,"39.19","39.72","37.05","38.19","57,802,480"
08/02/2021,"40.50","40.90","38.77","39.41","10,131,724"
07/30/2021,"41.25","41.81","39.72","40.28","9,508,472"
07/29/2021,"42.65","43.47","41.13","41.22","8,959,980"
07/28/2021,"43.93","44.28","41.07","42.28","16,403,380"
07/27/2021,"45.75","46.25","44.17","44.64","4,859,100"
07/26/2021,"45.09","46.51","44.69","45.99","5,042,372"
07/23/2021,"45.25","45.40","43.46","45.09","5,264,672"
07/22/2021,"46.33","46.92","44.04","44.71","5,651,952"
07/21/2021,"46.95","48.88","45.53","46.45","8,916,736"
07/20/2021,"43.48","48.41","43.11","47.80","12,404,360"
07/19/2021,"40.83","44.00","40.31","43.37","9,747,736"
07/16/2021,"42.54","44.87","41.58","42.26","13,151,716"
07/15/2021,"40.00","43.00","39.50","41.71","17,194,356"
07/14/2021,"45.12","45.60","41.27","41.91","15,655,080"
07/13/2021,"46.92","47.20","44.75","45.02","9,591,776"
07/12/2021,"47.86","49.44","46.86","47.31","6,545,296"
07/09/2021,"47.72","48.70","46.69","47.81","6,331,700"
07/08/2021,"44.96","48.56","44.88","47.85","11,430,056"
07/07/2021,"49.00","49.38","44.39","47.67","16,958,000"
07/06/2021,"51.00","51.19","48.43","49.89","11,072,248"
07/02/2021,"51.20","51.36","49.13","50.71","10,410,916"
07/01/2021,"53.35","54.21","50.50","51.09","10,968,448"
06/30/2021,"52.42","53.82","51.73","53.54","10,158,592"
06/29/2021,"53.40","53.81","52.00","52.72","9,920,036"
06/28/2021,"52.81","56.11","52.55","53.31","19,517,456"
06/25/2021,"53.50","53.55","49.63","52.38","50,771,000"
06/24/2021,"55.29","56.86","52.90","53.08","15,453,356"
06/23/2021,"55.36","55.64","53.53","54.84","14,220,360"
06/22/2021,"54.43","56.47","52.29","55.10","32,800,708"
06/21/2021,"54.24","54.60","49.25","50.09","20,480,744"
06/18/2021,"55.05","55.87","53.25","53.46","17,281,268"
06/17/2021,"56.00","58.42","55.37","55.90","18,434,292"
06/16/2021,"53.81","57.18","52.25","55.74","22,259,308"
06/15/2021,"56.59","57.31","52.00","55.63","29,207,740"
06/14/2021,"59.13","59.50","54.80","57.36","28,530,508"
06/11/2021,"55.59","60.28","51.53","58.34","62,323,080"
06/10/2021,"70.50","72.00","52.75","55.10","91,920,600"
06/09/2021,"75.78","82.00","72.88","75.64","53,717,240"
06/08/2021,"73.00","86.17","70.25","75.00","69,756,476"
06/07/2021,"64.50","70.50","63.80","70.00","24,205,960"
06/04/2021,"64.01","66.25","61.44","62.09","14,550,060"
06/03/2021,"66.43","68.61","60.53","64.55","31,999,820"
06/02/2021,"62.22","73.50","61.08","70.56","64,076,880"
06/01/2021,"58.37","63.75","56.77","62.26","38,502,440"
05/28/2021,"65.74","67.20","55.36","55.50","47,005,480"
05/27/2021,"57.45","66.00","56.75","63.53","62,105,200"
05/26/2021,"57.25","62.12","56.39","60.64","84,479,476"
05/25/2021,"45.25","54.28","45.25","52.36","59,549,840"
05/24/2021,"43.96","47.11","43.34","45.00","18,657,392"
05/21/2021,"42.75","44.81","42.58","44.20","14,618,732"
05/20/2021,"42.70","43.73","41.73","42.62","9,912,672"
05/19/2021,"43.00","44.74","41.04","42.21","19,303,620"
05/18/2021,"43.64","47.30","42.07","45.17","30,954,868"
05/17/2021,"39.96","45.63","39.75","45.15","29,491,052"
05/14/2021,"40.00","41.62","39.06","39.98","17,174,120"
05/13/2021,"36.86","42.49","36.61","41.13","35,493,948"
05/12/2021,"36.43","37.63","35.56","36.20","10,926,040"
05/11/2021,"34.25","37.63","34.13","36.73","18,738,336"
05/10/2021,"40.33","40.40","35.75","35.81","19,226,740"
05/07/2021,"40.03","41.85","39.38","40.28","11,738,496"
05/06/2021,"40.22","41.18","38.90","40.25","11,771,208"
05/05/2021,"40.46","41.38","39.58","39.87","11,221,636"
05/04/2021,"39.75","40.37","37.95","40.18","16,030,048"
05/03/2021,"44.37","44.37","39.90","40.55","21,044,076"
04/30/2021,"43.75","45.95","43.18","43.40","17,734,260"
04/29/2021,"44.14","45.22","42.69","44.05","15,041,000"
04/28/2021,"43.03","45.50","41.51","44.65","23,155,752"
04/27/2021,"45.89","47.00","43.29","44.44","35,730,872"
04/26/2021,"37.75","43.67","37.19","42.23","42,128,440"
04/23/2021,"37.25","38.41","36.18","37.80","16,168,228"
04/22/2021,"39.78","39.78","36.72","37.79","17,383,236"
04/21/2021,"39.60","40.75","38.98","39.63","15,251,380"
04/20/2021,"41.04","41.22","38.34","39.63","18,634,432"
04/19/2021,"42.95","43.80","40.58","41.09","42,080,840"
04/16/2021,"39.00","40.05","37.81","38.67","20,858,840"
04/15/2021,"40.75","41.56","38.20","39.11","31,427,120"
04/14/2021,"35.89","43.52","35.75","41.63","84,552,564"
04/13/2021,"35.47","36.34","33.00","35.25","27,227,472"
04/12/2021,"39.53","40.98","33.75","35.27","66,734,400"
04/09/2021,"42.43","42.90","38.25","39.59","37,849,520"
04/08/2021,"46.47","46.47","41.08","42.57","40,189,560"
04/07/2021,"45.81","46.12","44.03","44.49","19,073,044"
04/06/2021,"46.30","48.00","45.89","46.13","24,873,272"
04/05/2021,"42.75","48.75","41.20","46.74","56,281,960"
04/01/2021,"48.34","49.24","45.90","47.86","37,337,380"
03/31/2021,"49.38","49.87","46.78","47.46","33,575,336"
03/30/2021,"46.88","51.08","45.50","48.62","68,379,680"
03/29/2021,"45.19","48.48","43.38","45.33","40,168,720"
03/26/2021,"49.42","54.73","40.82","45.25","149,722,688"
03/25/2021,"30.87","46.88","29.23","45.94","203,849,360"
03/24/2021,"39.50","41.74","29.66","30.09","96,711,524"
03/23/2021,"49.38","50.44","44.39","45.44","57,716,600"
03/22/2021,"51.32","52.59","46.55","48.62","40,246,040"
03/19/2021,"48.93","56.75","45.67","50.07","98,709,204"
03/18/2021,"53.50","54.72","48.91","50.44","47,199,640"
03/17/2021,"54.46","57.87","51.00","52.45","65,926,360"
03/16/2021,"50.79","55.18","43.09","52.04","141,691,484"
03/15/2021,"69.38","70.75","51.50","55.04","96,904,756"
03/12/2021,"68.75","73.88","65.57","66.13","103,383,600"
03/11/2021,"60.41","70.38","58.15","65.00","113,249,960"
03/10/2021,"67.36","87.13","43.00","66.25","286,282,280"
03/09/2021,"54.43","62.46","52.13","61.73","156,397,312"
